Town Num,Town,County,Region,Interstate Miles,Interstate DVMT,Freeway Miles,Freeway DVMT,Principal Arterial Miles,Principal Arterial DVMT,Minor Arterial Miles,Minor Arterial DVMT,Major ColelctorMiles,Major Collector DVMT,Minor Collector Miles,Minor Collector DVMT,Local Miles,Local DVMT
123,Scotland,Windham,Windham,0,0,0,0,0,0,0,0,8.82,19433,3.36,1176,24.81,9924
124,Seymour,New Haven,Valley,0,0,3.89,201950,4.73,38487,13.27,89222,12.03,34598,2.21,4745,66.18,50891
125,Sharon,Litchfield,Northwestern CT,0,0,0,0,0,0,16.85,30732,11.63,25141,16.27,6165,67.66,27064
126,Shelton,Fairfield,Valley,0,0,5.16,331606,0,0,39.19,351347,25.01,95447,0,0,174.42,134124
127,Sherman,Fairfield,Housatonic Valley,0,0,0,0,0,0,5.29,19553,12.05,24491,0,0,33.69,14921
128,Simsbury,Hartford,Capitol Region,0,0,0,0,7.67,106714,7.63,98476,35.98,123107,0.51,1581,129.46,87478
129,Somers,Tolland,Capitol Region,0,0,0,0,8.92,60430,3.04,18489,16.02,35756,0,0,77.15,37561
132,South Windsor,Hartford,Capitol Region,3.35,174067,0,0,10.47,135076,14.71,132566,22.03,73843,0,0,107.87,77829
130,Southbury,New Haven,Central Naugatuck,6.61,430174,0,0,0,0,10.87,106123,12.53,72976,0,0,130.26,88319
131,Southington,Hartford,Central CT,9.14,719623,0.58,4756,9.18,158493,19.96,114839,32.85,131802,1.39,1182,160.8,113742
133,Sprague,New London,Southeastern CT,0,0,0,0,0,0,0,0,9.46,21706,3.78,3480,21.72,9015
134,Stafford,Tolland,Capitol Region,0,0,0,0,0,0,7.29,34379,25.45,102074,7.2,4763,105.92,53246
135,Stamford,Fairfield,South Western,3.34,449214,4.33,256162,21.07,359430,27.95,314610,33.42,172421,0,0,248.68,191228
136,Sterling,Windham,Northeastern CT,0,0,0,0,0,0,3.56,6699,6.56,12645,6.58,9139,41.48,16592
137,Stonington,New London,Southeastern CT,6.84,311399,0.24,3352,1.47,28923,16.5,131501,28.79,92768,0,0,98.61,43996
138,Stratford,Fairfield,Greater Bridgeport,3.43,398506,3.16,225000,6.57,98844,19.44,210003,16.24,82999,0,0,151.38,116407
139,Suffield,Hartford,Capitol Region,0,0,0,0,3.79,39240,11.06,90128,17.84,101490,3.75,7347,72.9,34494
140,Thomaston,Litchfield,Central Naugatuck,0,0,4.29,106491,1.52,13161,6.41,35682,17.36,34630,0,0,30.74,21530
141,Thompson,Windham,Northeastern CT,6.91,143879,0,0,0,0,11.05,43411,15.59,38245,8.01,9091,87.67,34961
142,Tolland,Tolland,Capitol Region,7.11,492210,0,0,3.21,37329,5.72,38302,13.91,60481,4.84,10186,123.46,75690
143,Torrington,Litchfield,Litchfield Hills,0,0,7.17,121646,9.96,116491,13.26,86311,29.76,124418,1.78,623,142.26,93009
144,Trumbull,Fairfield,Greater Bridgeport,0,0,14.24,736483,1.24,26482,20.32,217519,17.97,64153,0,0,181.55,139607
145,Union,Tolland,Northeastern CT,5.85,295194,0,0,0,0,0,0,14.02,23687,0,0,23.14,9256
146,Vernon,Tolland,Capitol Region,4.81,440987,0,0,4.72,99968,11.22,95110,18.49,82028,0,0,97.85,70600
147,Voluntown,New London,Southeastern CT,0,0,0,0,0,0,5.04,16975,13.22,27491,0,0,29.91,11964
148,Wallingford,New Haven,South Central,6.54,524570,6.57,331204,4.85,75695,41.5,309156,25.09,102933,0,0,163.68,76602
149,Warren,Litchfield,Northwestern CT,0,0,0,0,0,0,0,0,11.95,22520,2.7,634,35.54,14216
150,Washington,Litchfield,Northwestern CT,0,0,0,0,6.22,36688,2.24,5152,15.32,35048,15.18,11686,75.36,30724
151,Waterbury,New Haven,Central Naugatuck,7.23,718717,5.58,293059,11.39,162404,53.62,541465,29.86,114506,0,0,221.67,148290
152,Waterford,New London,Southeastern CT,8.61,362719,1.06,22472,11.95,216146,6.01,57231,18.61,65557,0,0,104.09,46443
153,Watertown,Litchfield,Central Naugatuck,0,0,4.63,158160,7.81,78612,19.62,105830,16.84,46104,1.79,806,111.5,68371
155,West Hartford,Hartford,Capitol Region,3.31,395749,0,0,14.21,221121,25.33,285553,22.02,106639,0,0,163.24,117779
156,West Haven,New Haven,South Central,3.43,440883,0,0,3.67,76410,17.95,184935,12.92,61411,0,0,109.77,51970
154,Westbrook,Middlesex,Lower CT River,3.73,215201,0,0,0,0,8.48,80469,7.38,29336,4.95,4536,38.28,17296
157,Weston,Fairfield,South Western,0,0,0,0,0,0,7.81,61272,11.88,37952,2.84,2477,68.39,48970
158,Westport,Fairfield,South Western,4.68,599999,3.51,202204,4.78,99972,22.81,196016,13.01,58906,0,0,102.32,78681
159,Wethersfield,Hartford,Capitol Region,3.39,451886,2.77,106967,1.19,46043,14.98,196818,20.12,77168,0,0,85.35,61581
160,Willington,Tolland,Windham,5.92,312361,0,0,0,0,8.23,49669,11.33,43650,2.63,2866,69.91,31044
161,Wilton,Fairfield,South Western,0,0,0,0,7.75,190181,16.12,111699,12.65,30929,0,0,112.97,86871
162,Winchester,Litchfield,Litchfield Hills,0,0,2.33,30454,9.12,72676,2.88,9190,20.75,33937,0,0,71.52,38869
163,Windham,Windham,Windham,0,0,1.2,19854,12.39,150126,1.99,15506,16.84,75668,1.48,1328,81.06,51617
164,Windsor,Hartford,Capitol Region,8.65,1017571,3.33,153754,6.42,80176,23.32,231647,16.4,58341,0,0,113.44,75418
165,Windsor Locks,Hartford,Capitol Region,1.19,129270,0.99,14292,2.22,37736,7.59,61853,9.22,44141,0,0,42.79,21789
166,Wolcott,New Haven,Central Naugatuck,0,0,0,0,5.41,54757,12.86,62412,9.23,35136,0,0,77.94,51580
167,Woodbridge,New Haven,South Central,0,0,2.41,162394,7.77,81710,9.14,51541,15.43,52437,0,0,69.61,53528
168,Woodbury,Litchfield,Central Naugatuck,0,0,0,0,0,0,10.79,82742,14.96,34813,10.84,22119,84.07,43923
169,Woodstock,Windham,Northeastern CT,0,0,0,0,0,0,0,0,35.08,82954,4.6,4586,108.96,43564
